id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText,sentiment,confidence,labelMethod
1,Siapa nih yang langganan ke Malaysia?,siapa nih yang langganan ke malaysia,siapa nih yang langganan ke malaysia,siapa nih yang langganan ke malaysia,siapa nih yang langganan ke malaysia,siapa nih langganan malaysia,"['siapa', 'nih', 'langganan', 'malaysia']",siapa nih langgan malaysia,4,siapa nih langgan malaysia,Netral,Medium,Auto
2,Jln2 kebrazil kak,jln kebrazil kak,jalan kebrazil kak,jalan kebrazil kak,jalan kebrazil kak,jalan kebrazil kak,"['jalan', 'kebrazil', 'kak']",jalan kebrazil kak,3,jalan kebrazil kak,Netral,Low,Auto
3,"in Kuala Lumpur, visit to Perdana Botanical Garden, Orchid & Hibiscus Gardens, Bird Park, Butterfly Park, Islamic Arts Museum",in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,"['in', 'kuala', 'lumpur', 'visit', 'to', 'perdana', 'botanical', 'garden', 'orchid', 'hibiscus', 'gardens', 'bird', 'park', 'butterfly', 'park', 'islamic', 'arts', 'museum']",in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,18,in kuala lumpur visit to perdana botanical garden orchid hibiscus gardens bird park butterfly park islamic arts museum,Positif,Medium,Auto
4,"Gak minat,
Negara no 2 paling rasis sedunia setelah india,
Apalagi dgn wni,
Menganggap semua wni adalah pekerja walaupun kt wisatawan gak aman,,
Beda dgn kita yang ramah dgn semua orang tanpa melihat negara,
Apalagi tau kalau dia wisatawan,
Malagaydesh gitu lho,,😊",gak minat negara no paling rasis sedunia setelah india apalagi dgn wni menganggap semua wni adalah pekerja walaupun kt wisatawan gak aman beda dgn kita yang ramah dgn semua orang tanpa melihat negara apalagi tau kalau dia wisatawan malagaydesh gitu lho,tidak minat negara no paling rasis sedunia setelah india apalagi dengan wni menganggap semua wni adalah pekerja walaupun kt wisatawan tidak aman beda dengan kita yang ramah dengan semua orang tanpa melihat negara apalagi tau kalau dia wisatawan malagaydesh gitu lho,tidak minat negara no paling rasis sedunia setelah india apalagi dengan wni menganggap semua wni adalah pekerja walaupun kt wisatawan tidak aman beda dengan kita yang ramah dengan semua orang tanpa melihat negara apalagi tau kalau dia wisatawan malagaydesh gitu lho,tidak minat negara no paling rasis sedunia setelah india apalagi dengan wni menganggap semua wni adalah pekerja walaupun kt wisatawan huru-hara beda dengan kita yang ramah dengan semua orang tanpa melihat negara apalagi tau kalau dia wisatawan malagaydesh gitu lho,minat negara no paling rasis sedunia india wni menganggap semua wni pekerja walaupun kt wisatawan huru-hara beda kita ramah dengan semua orang melihat negara tau kalau wisatawan malagaydesh gitu lho,"['minat', 'negara', 'no', 'paling', 'rasis', 'sedunia', 'india', 'wni', 'menganggap', 'semua', 'wni', 'pekerja', 'walaupun', 'kt', 'wisatawan', 'huru-hara', 'beda', 'kita', 'ramah', 'dengan', 'semua', 'orang', 'melihat', 'negara', 'tau', 'kalau', 'wisatawan', 'malagaydesh', 'gitu', 'lho']",minat negara no paling rasis dunia india wni anggap semua wni kerja walaupun kt wisatawan huru-hara beda kita ramah dengan semua orang lihat negara tau kalau wisatawan malagaydesh gitu lho,30,minat negara no paling rasis dunia india wni anggap semua wni kerja walaupun kt wisatawan huru-hara beda kita ramah dengan semua orang lihat negara tau kalau wisatawan malagaydesh gitu lho,Negatif,High,Auto
5,Ih olahraga yg nyusahin. Olahraga tuh bombomcar gt loh,ih olahraga yg nyusahin olahraga tuh bombomcar gt loh,ih olahraga yang nyusahin olahraga tuh bombomcar gt loh,ih olahraga yang nyusahin olahraga tuh bombomcar gt loh,ih olahraga yang nyusahin olahraga tuh bombomcar gt loh,ih olahraga nyusahin olahraga tuh bombomcar gt loh,"['ih', 'olahraga', 'nyusahin', 'olahraga', 'tuh', 'bombomcar', 'gt', 'loh']",ih olahraga nyusahin olahraga tuh bombomcar gt loh,8,ih olahraga nyusahin olahraga tuh bombomcar gt loh,Negatif,Medium,Auto
6,"Tks Mike... Ikut menikmati KL. 
Selamat ngopi.",tks mike ikut menikmati kl selamat ngopi,tks mike ikut menikmati kalau selamat ngopi,tks mike ikut menikmati kalau selamat ngopi,tks mike ikut menikmati kalau selamat ngopi,tks mike ikut menikmati kalau selamat ngopi,"['tks', 'mike', 'ikut', 'menikmati', 'kalau', 'selamat', 'ngopi']",tks mike ikut nikmat kalau selamat ngopi,7,tks mike ikut nikmat kalau selamat ngopi,Positif,Medium,Auto
7,Pake kemeja dan kaca mata.. Kayak.. Om.. Om.. Memang kalau boleh tanya situ umur brapa..?.. Sukses selalu masih muda berkarir... Mantap..,pake kemeja dan kaca mata kayak om om memang kalau boleh tanya situ umur brapa sukses selalu masih muda berkarir mantap,pake kemeja dan kaca mata seperti om om memang kalau boleh tanya situ umur berapa sukses selalu masih muda berkarir mantap,pake kemeja dan kaca mata seperti om om memang kalau boleh tanya situ umur berapa sukses selalu masih muda berkarir mantap,pake kemeja dan kaca mata seperti om om memang kalau boleh tanya situ umur berapa sukses selalu masih muda berkarir mantap,pake kemeja kaca mata om om memang kalau tanya situ umur berapa sukses selalu muda berkarir mantap,"['pake', 'kemeja', 'kaca', 'mata', 'om', 'om', 'memang', 'kalau', 'tanya', 'situ', 'umur', 'berapa', 'sukses', 'selalu', 'muda', 'berkarir', 'mantap']",pake kemeja kaca mata om om memang kalau tanya situ umur berapa sukses selalu muda berkarir mantap,17,pake kemeja kaca mata om om memang kalau tanya situ umur berapa sukses selalu muda berkarir mantap,Positif,High,Auto
8,Terima kasih bercuti memperlihatkan Malaysia dimata dunia.,terima kasih bercuti memperlihatkan malaysia dimata dunia,terima kasih bercuti memperlihatkan malaysia dimata dunia,terima kasih bercuti memperlihatkan malaysia dimata dunia,terima kasih bercuti memperlihatkan malaysia dimata dunia,terima kasih bercuti memperlihatkan malaysia dimata dunia,"['terima', 'kasih', 'bercuti', 'memperlihatkan', 'malaysia', 'dimata', 'dunia']",terima kasih cut lihat malaysia mata dunia,7,terima kasih cut lihat malaysia mata dunia,Positif,High,Auto
9,"Malaysia n Singapore hampir tahu tempat travelingnya...
Nungguin terus seri Afrika, pokoknya sampai ke gunung Kilimanjaro, Air terjun Victoria, Padang rumput serangeti n pedalaman Kongo...",malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokoknya sampai ke gunung kilimanjaro air terjun victoria padang rumput serangeti n pedalaman kongo,malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokoknya sampai ke gunung kilimanjaro air terjun victoria padang rumput serangeti n pedalaman kongo,malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokoknya sampai ke gunung kilimanjaro air terjun victoria padang rumput serangeti n pedalaman kongo,malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokoknya sampai ke gunung kilimanjaro air terjun victoria padang rumput serangeti n pedalaman kongo,malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokoknya ke gunung kilimanjaro air terjun victoria padang rumput serangeti n pedalaman kongo,"['malaysia', 'n', 'singapore', 'hampir', 'tahu', 'tempat', 'travelingnya', 'nungguin', 'terus', 'seri', 'afrika', 'pokoknya', 'ke', 'gunung', 'kilimanjaro', 'air', 'terjun', 'victoria', 'padang', 'rumput', 'serangeti', 'n', 'pedalaman', 'kongo']",malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokok ke gunung kilimanjaro air terjun victoria padang rumput serangeti n dalam kongo,24,malaysia n singapore hampir tahu tempat travelingnya nungguin terus seri afrika pokok ke gunung kilimanjaro air terjun victoria padang rumput serangeti n dalam kongo,Netral,Medium,Auto
10,Coba jln2 ke brazil kak..diperkebunan kopinya,coba jln ke brazil kakdiperkebunan kopinya,coba jalan ke brazil kakdiperkebunan kopinya,coba jalan ke brazil kakdiperkebunan kopinya,coba jalan ke brazil kakdiperkebunan kopinya,coba jalan brazil kakdiperkebunan kopinya,"['coba', 'jalan', 'brazil', 'kakdiperkebunan', 'kopinya']",coba jalan brazil kakdiperkebunan kopi,5,coba jalan brazil kakdiperkebunan kopi,Netral,Low,Auto
