comment,cleanText,translated,noStopword,stemmed,tokens,wordCount,finalText
2:31 That was my favorite scene,that was my favorite scene,Itu adalah adegan favorit saya,Itu adegan favorit,itu adegan favorit,"['itu', 'adegan', 'favorit']",3,itu adegan favorit
Seriously if my man doesn't look at me this way I don't want him 😂😂😂,seriously if my man doesnt look at me this way i dont want him,"Serius jika pria saya tidak melihat saya seperti ini, saya tidak menginginkannya","Serius pria tidak melihat seperti ini, tidak menginginkannya",serius pria tidak lihat seperti ini tidak ingin,"['serius', 'pria', 'tidak', 'lihat', 'seperti', 'ini', 'tidak', 'ingin']",8,serius pria tidak lihat seperti ini tidak ingin
"The moment he says: "" cause we may be kids "" with that little laugh ...so sweet and honestly they just dead it 😊😊😊❤",the moment he says cause we may be kids with that little laugh so sweet and honestly they just dead it,Saat dia mengatakan karena kita mungkin anak -anak dengan tawa kecil itu begitu manis dan jujur ​​mereka hanya mati,Saat mengatakan kita mungkin anak -anak tawa kecil begitu manis jujur ​​mereka mati,saat kata kita mungkin anak -anak tawa kecil begitu manis jujur mereka mati,"['saat', 'kata', 'kita', 'mungkin', 'anak', '-anak', 'tawa', 'kecil', 'begitu', 'manis', 'jujur', 'mereka', 'mati']",13,saat kata kita mungkin anak -anak tawa kecil begitu manis jujur mereka mati
"Таптым
Махаббат таптым аңсаған
Қорықпай маған ер, қорғаның болам

Золушка
Таптым бір ер, жүрегі сұлу

Бірге
Білем екі жарты бір бүтін  сен және мен

Принц
бәлкім баламыз

Бірге
Йә біз ғашықпыз
Қосылуға  біз асықпыз
сені мен болсам  бірге /тілеуім/ сол
Қолымнан ұста ал мен

Принц 
Еркем бол

Оба
Ал сен менімен ер
(Сен менімен ер)
Бүгін өмірімнің мәні ол сен

Жаным мен
Қараңғыда билейм (мін)
Құшағыңдамын мен
Әлем күте тұрад
Екеуіміздің әніміз бұл

Принц
Көркіңе көзім сенбей , қарай бергім келед(і)

Золушка
Саған тең емеспін

Принц
Жаным сен ғажапсың


Жаным мен
Қараңғыда билейм (мін)
Құшағыңдамын мен
Әлем күте тұрад
Екеуіміздің әніміз бұл 
Сені көріп мен білдім
Жан перііііштемісің жарамды емдедің
Көзіме сенбеймін
Лайықты емеспін
Таптым сені мен бүгін",таптым махаббат таптым аңсаған қорықпай маған ер қорғаның болам золушка таптым бір ер жүрегі сұлу бірге білем екі жарты бір бүтін сен және мен принц бәлкім баламыз бірге йә біз ғашықпыз қосылуға біз асықпыз сені мен болсам бірге тілеуім сол қолымнан ұста ал мен принц еркем бол оба ал сен менімен ер сен менімен ер бүгін өмірімнің мәні ол сен жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл принц көркіңе көзім сенбей қарай бергім келеді золушка саған тең емеспін принц жаным сен ғажапсың жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл сені көріп мен білдім жан перііііштемісің жарамды емдедің көзіме сенбеймін лайықты емеспін таптым сені мен бүгін,таптым махаббат таптым аңсаған қорықпай маған ер қорғаның болам золушка таптым бір ер жүрегі сұлу бірге білем екі жарты бір бүтін сен және мен принц бәлкім баламыз бірге йә біз ғашықпыз қосылуға біз асықпыз сені мен болсам бірге тілеуім сол қолымнан ұста ал мен принц еркем бол оба ал сен менімен ер сен менімен ер бүгін өмірімнің мәні ол сен жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл принц көркіңе көзім сенбей қарай бергім келеді золушка саған тең емеспін принц жаным сен ғажапсың жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл сені көріп мен білдім жан перііііштемісің жарамды емдедің көзіме сенбеймін лайықты емеспін таптым сені мен бүгін,таптым махаббат таптым аңсаған қорықпай маған ер қорғаның болам золушка таптым бір ер жүрегі сұлу бірге білем екі жарты бір бүтін сен және мен принц бәлкім баламыз бірге йә біз ғашықпыз қосылуға біз асықпыз сені мен болсам бірге тілеуім сол қолымнан ұста ал мен принц еркем бол оба ал сен менімен ер сен менімен ер бүгін өмірімнің мәні ол сен жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл принц көркіңе көзім сенбей қарай бергім келеді золушка саған тең емеспін принц жаным сен ғажапсың жаным мен қараңғыда билейм мін құшағыңдамын мен әлем күте тұрад екеуіміздің әніміз бұл сені көріп мен білдім жан перііііштемісің жарамды емдедің көзіме сенбеймін лайықты емеспін таптым сені мен бүгін,,[],0,
❤ I found a love❤️,i found a love,Saya menemukan cinta,Saya menemukan cinta,saya temu cinta,"['saya', 'temu', 'cinta']",3,saya temu cinta
1:13 it very nice 😢,it very nice,itu sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",2,sangat bagus
I don't why I am crying 😢,i dont why i am crying,i dont why i am crying,i dont why i am crying,i dont why i am crying,"['i', 'dont', 'why', 'i', 'am', 'crying']",6,i dont why i am crying
Anyone in 2025 September 🎉,anyone in september,siapa pun di bulan September,siapa di bulan September,siapa di bulan september,"['siapa', 'di', 'bulan', 'september']",4,siapa di bulan september
Favourite song 🫶🏻☺️,favourite song,favourite song,favourite song,favourite song,"['favourite', 'song']",2,favourite song
Father in the heaven i used to be considered myself as Cinderella since my childhood after my mom passed away I've lost my smile suddenly a guy came and brought my smile again i thought I find out my prince charming but he left me now father still I love him bring reconciliation of my relationship with that guy and may he come back and look for me and search for me &make us together and get married and I put u the first  between in the name of Jesus amen,father in the heaven i used to be considered myself as cinderella since my childhood after my mom passed away ive lost my smile suddenly a guy came and brought my smile again i thought i find out my prince charming but he left me now father still i love him bring reconciliation of my relationship with that guy and may he come back and look for me and search for me make us together and get married and i put u the first between in the name of jesus amen,"Ayah di surga, saya dulu dianggap sebagai Cinderella sejak masa kecil saya setelah ibu saya meninggal, saya kehilangan senyum saya tiba -tiba seorang pria datang dan membawa senyum saya lagi, saya pikir saya mengetahui pangeran saya yang menawan tetapi dia meninggalkan saya sekarang ayah masih saya cintai dia membawa rekonsiliasi hubungan saya dengan orang itu dan semoga dia kembali dan mencari saya dan mencari saya membuat kami membuat bersama dan menikahi Anda di antara itu di antara nama di antara nama di antara saya di antara saya di antara saya dan mencari saya di antara saya dan mencari tahu di antara saya dan mencari nama saya di antara saya dan mencari saya di antara saya dan mencariku di antara saya dan mencari nama di antara saya dan mencari nama di antara saya dan mencari saya di antara saya dan mencari nama di antara saya dan mencarinya di antara saya dan mencarinya di antara saya dan mencarinya di antara saya dan mencari saya di antara saya dan mencari nama di antara saya dan mencarinya di antara saya dan mencari saya di antara saya dan mencari nama di antara saya dan mencarinya di antara saya dan mencari saya di antara saya dan mencari saya di antara saya dan mencari nama di antara saya,","Ayah surga, dulu dianggap Cinderella sejak masa kecil setelah ibu meninggal, kehilangan senyum tiba -tiba seorang pria datang membawa senyum lagi, pikir mengetahui pangeran yang menawan meninggalkan sekarang ayah cintai membawa rekonsiliasi hubungan dengan orang semoga dia kembali mencari mencari membuat membuat bersama menikahi Anda nama nama mencari mencari tahu mencari nama mencari mencariku antara mencari nama antara dan mencari nama antara dan mencari antara dan mencari nama antara dan mencarinya antara dan mencarinya antara dan mencarinya di antara dan mencari di antara dan mencari nama di antara saya dan mencarinya di antara saya dan mencari saya di antara saya dan mencari nama di antara saya dan mencarinya di antara saya dan mencari saya di antara saya dan mencari saya di antara saya dan mencari nama di antara saya,",ayah surga dulu anggap cinderella sejak masa kecil telah ibu tinggal hilang senyum tiba -tiba orang pria datang bawa senyum lagi pikir tahu pangeran yang tawan tinggal sekarang ayah cinta bawa rekonsiliasi hubung dengan orang moga dia kembali cari cari buat buat sama nikah anda nama nama cari cari tahu cari nama cari cari antara cari nama antara dan cari nama antara dan cari antara dan cari nama antara dan cari antara dan cari antara dan cari di antara dan cari di antara dan cari nama di antara saya dan cari di antara saya dan cari saya di antara saya dan cari nama di antara saya dan cari di antara saya dan cari saya di antara saya dan cari saya di antara saya dan cari nama di antara saya,"['ayah', 'surga', 'dulu', 'anggap', 'cinderella', 'sejak', 'masa', 'kecil', 'telah', 'ibu', 'tinggal', 'hilang', 'senyum', 'tiba', '-tiba', 'orang', 'pria', 'datang', 'bawa', 'senyum', 'lagi', 'pikir', 'tahu', 'pangeran', 'yang', 'tawan', 'tinggal', 'sekarang', 'ayah', 'cinta', 'bawa', 'rekonsiliasi', 'hubung', 'dengan', 'orang', 'moga', 'dia', 'kembali', 'cari', 'cari', 'buat', 'buat', 'sama', 'nikah', 'anda', 'nama', 'nama', 'cari', 'cari', 'tahu', 'cari', 'nama', 'cari', 'cari', 'antara', 'cari', 'nama', 'antara', 'dan', 'cari', 'nama', 'antara', 'dan', 'cari', 'antara', 'dan', 'cari', 'nama', 'antara', 'dan', 'cari', 'antara', 'dan', 'cari', 'antara', 'dan', 'cari', 'di', 'antara', 'dan', 'cari', 'di', 'antara', 'dan', 'cari', 'nama', 'di', 'antara', 'saya', 'dan', 'cari', 'di', 'antara', 'saya', 'dan', 'cari', 'saya', 'di', 'antara', 'saya', 'dan', 'cari', 'nama', 'di', 'antara', 'saya', 'dan', 'cari', 'di', 'antara', 'saya', 'dan', 'cari', 'saya', 'di', 'antara', 'saya', 'dan', 'cari', 'saya', 'di', 'antara', 'saya', 'dan', 'cari', 'nama', 'di', 'antara', 'saya']",129,ayah surga dulu anggap cinderella sejak masa kecil telah ibu tinggal hilang senyum tiba -tiba orang pria datang bawa senyum lagi pikir tahu pangeran yang tawan tinggal sekarang ayah cinta bawa rekonsiliasi hubung dengan orang moga dia kembali cari cari buat buat sama nikah anda nama nama cari cari tahu cari nama cari cari antara cari nama antara dan cari nama antara dan cari antara dan cari nama antara dan cari antara dan cari antara dan cari di antara dan cari di antara dan cari nama di antara saya dan cari di antara saya dan cari saya di antara saya dan cari nama di antara saya dan cari di antara saya dan cari saya di antara saya dan cari saya di antara saya dan cari nama di antara saya
